name,ring,quadrant,isNew,description
Python,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://www.python.org/about/"">Python</a> is an interpreted, high-level and general-purpose programming language mostly used for developing AI applications.</p>"
OAuth 2.0,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://oauth.net/2/"">OAuth 2.0</a> is the industry-standard protocol for authorization. OAuth 2.0 focuses on client developer simplicity while providing specific authorization flows for web applications, desktop applications, mobile phones, and living room devices.</p>"
OpenID Connect,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://openid.net/connect/"">OpenID Connect</a> is a simple identity layer on top of the OAuth 2.0 protocol. It allows Clients to verify the identity of the End-User based on the authentication performed by an Authorization Server, as well as to obtain basic profile information about the End-User in an interoperable and REST-like manner.</p>"
Azure Kubernetes Service,Adopt,Platforms,FALSE,"<p>Distribuera och hantera program i containrar enklare med en fullständigt hanterad Kubernetes-tjänst. <a href=""https://docs.microsoft.com/en-us/azure/aks/"">Azure Kubernetes Service (AKS)</a> We define it as a platform </p>"
Windows server 2019,Adopt,Platforms,FALSE,"<p>Windows Server 2019 is the last resot to take if you will deploy on WMs. We in general do not recommend to use windows 2019 as we recommend PaaS services instead where microsoft handles this for us. <a href=""https://www.microway.com.au/microsoft/Windows_Server_2019_Feature_Comparison_Guide_EN_US.pdf>Windows Server 2019</a> </p>"
Workspace ONE,Adopt,Platforms,FALSE,"<p>With the Workspace ONE Intelligent Hub installed on the devices, users authenticate with the Hub and enroll their devices. Based on the admin UEM console configurations, users can access the enterprise applications and Web applications through the Intelligent Hub Catalog and other services of the Hub.<a href=""https://docs.vmware.com/en/VMware-Workspace-ONE-UEM/services/macOS_Platform/GUID-37ACACC7-8222-47A0-8EF8-600EA2B10705.html>Workspace ONE intelligent HUB</a> </p>"
script @ google - https://script.google.com/,Adopt,Platforms,FALSE,"<p>Google Workspace comprises Gmail, Chat, Meet, Calendar; Drive for storage; Docs, Sheets, Slides, Forms, and Sites for collaboration; and an Admin panel and Vault for managing users and the services. <a href=""https://workspace.google.se/intl/en/"">Google Workspace</a> DISCUSSION: Google Workspace can be seen as a platform for hosting solutions, or part of them. Where storage is kept, and Google App Scripts is used to interact with the storage and services.</p>"
Azure App Service plan,Adopt,Platforms,FALSE,"<p>In App Service (Web Apps, API Apps, or Mobile Apps), an app always runs in an App Service plan. In addition, Azure Functions also has the option of running in an App Service plan. An App Service plan defines a set of compute resources for a web app to run. These compute resources are analogous to the server farm in conventional web hosting. One or more apps can be configured to run on the same computing resources (or in the same App Service plan).<a href=""https://docs.microsoft.com/en-us/azure/app-service/overview-hosting-plans"">App service plan</a> <p>"
PowerBI,Adopt,Platforms,FALSE,"<p>Power BI is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards.<a href=""https://en.wikipedia.org/wiki/Microsoft_Power_BI"">Power BI</a><p>"
MS SharePoint Online,Adopt,Platforms,FALSE,"<a>SharePoint Online, while available on Office 365, is a collaborative platform that integrates with Microsoft Office. SharePoint Online, which can be configured for a company’s usage, allows an enterprise to store, retrieve, search, archive, track, manage, and report on digitized documents.<a href=""https://www.knowledgelake.com/blog/difference-between-office-365-and-sharepoint-online/"">MS Sharepoint online</a><p>"
Active Directory (OneAD/global AD),Adopt,Platforms,FALSE,"<a>One-AD is PwC Swedens new way of managing Active directory under PwC global`s regim. There are multiple players involved in the solution such as Quest, One-identity and Sailpoint</a><p>"
Azure Blob Storage,Adopt,Platforms,FALSE,"<a>Azure Blob storage is a service for storing large amounts of unstructured object data, such as text or binary data. You can use Blob storage to expose data publicly to the world, or to store application data privately. Common uses of Blob storage include:

*Serving images or documents directly to a browser
*Storing files for distributed access
*Streaming video and audio
*Storing data for backup and restore, disaster recovery, and archiving
*Storing data for analysis by an on-premises or Azure-hosted service
<a href=""https://docs.microsoft.com/en-us/azure/databricks/data/data-sources/azure/azure-storage"">Azure Blob storage</a><p>"
Azure SQL PaaS,Adopt,Platforms,FALSE,"<p><a href=""https://docs.microsoft.com/en-us/azure/azure-sql/database/sql-database-paas-overview"">Azure SQL Database</a> is a fully managed platform as a service (PaaS) database engine that handles most of the database management functions such as upgrading, patching, backups, and monitoring without user involvement. Azure SQL Database is always running on the latest stable version of the SQL Server database engine and patched OS with 99.99% availability. PaaS capabilities that are built into Azure SQL Database enable you to focus on the domain-specific database administration and optimization activities that are critical for your business.</p>"
Microservices,Adopt,Techniques,FALSE,"<p>We shall use the teqniue of using microservices as much as we can, lean on information from <a href=""https://docs.microsoft.com/en-us/azure/architecture/microservices/"">Microsoft</a> in doing so </p>"
C4 Model,Adopt,Techniques,FALSE,"<p>We shall use the <a href=""https://c4model.com"">C4 modeling techniqe</a> for documenting our software architecture</p>"
REST,Adopt,Techniques,TRUE,"<p><strong>Representational state transfer</strong>&nbsp;(<strong>REST</strong>) is a subset of the http protocol (restrictions) for a&nbsp;<a title=""Software architecture"" href=""https://en.wikipedia.org/wiki/Software_architecture"">software architecture</a>&nbsp;of&nbsp;<a title=""Interactivity"" href=""https://en.wikipedia.org/wiki/Interactivity"">interactive</a>&nbsp;applications that use&nbsp;<a title=""Web service"" href=""https://en.wikipedia.org/wiki/Web_service"">Web services</a>. A Web service that follows these guidelines is called&nbsp;<em>RESTful</em>. Such a Web service must provide its&nbsp;<a class=""mw-redirect"" title=""Web resource framework"" href=""https://en.wikipedia.org/wiki/Web_resource_framework"">Web resources</a>&nbsp;in a textual representation and allow them to be read and modified with a&nbsp;<a title=""Stateless protocol"" href=""https://en.wikipedia.org/wiki/Stateless_protocol"">stateless protocol</a>&nbsp;and a predefined set of operations. This approach allows interoperability between the computer systems on the&nbsp;<a title=""Internet"" href=""https://en.wikipedia.org/wiki/Internet"">Internet</a>&nbsp;that provide these services. REST is an alternative to, for example,&nbsp;<a title=""SOAP"" href=""https://en.wikipedia.org/wiki/SOAP"">SOAP</a>&nbsp;as way to access a Web service.</p>"
Blueprism,Adopt,Tools,FALSE,"<p>Enterprise robotic process automation (RPA) software that provides a digital workforce designed to automate complex, end-to-end operational activities. We shall use this tool to work with automation of workflows via RPA<a href=""https://www.blueprism.com/nordics/"">BluePrism</a> </p>"
VS Code,Adopt,Tools,TRUE,"<p>IDE for writing code for the microsoft ecosystem.<a href=""https://code.visualstudio.com//"">VS Code</a></p>"
Visual Studio V 2019,Adopt,Tools,TRUE,"<p>IDE for writing code for the microsoft ecosystem. important to follow versions as compiler versions can differ between viisualstudio versions.<a href=""https://visualstudio.microsoft.com/"">Visual Studio</a></p>"
PowerBI Desktop,Adopt,Tools,FALSE,"<p>Power BI is a collection of software services, apps, and connectors that work together to turn your unrelated sources of data into coherent, visually immersive, and interactive insights. We shall use this tool to work with visualisations of our data layer for end users, embedded within applications<a href=""https://docs.microsoft.com/sv-se/power-bi/fundamentals/power-bi-overview"">What is Power BI?</a></p>"
PowerBI embedded,Adopt,Tools,FALSE,"<p> PowerBI embedded enables you to quickly and easily provide customer-facing reports, dashboards, and analytics in your own applications by using and branding&nbsp;<a href=""https://powerbi.microsoft.com/en-us/"" data-event=""page-clicked-link"" data-bi-id=""page-clicked-link"" data-bi-an=""content-overview-01"" data-bi-tn=""undefined"">Power BI</a>&nbsp;as your own. Reduce developer resources by automating the monitoring, management, and deployment of analytics, while getting full control of Power BI features and intelligent analytics.</p>"
Google Workspace,Adopt,Tools,FALSE,"<p>Google Workspace comprises Gmail, Chat, Meet, Calendar; Drive for storage; Docs, Sheets, Slides, Forms, and Sites for collaboration; and an Admin panel and Vault for managing users and the services. <a href=""https://workspace.google.se/intl/en/"">Google Workspace</a> </p>"
Flexera,Adopt,Tools,FALSE,"<p>Flexera Software is a global leader in Software Asset Management and Software License Optimization solutions, enabling enterprises to gain visibility and control of IT assets, reduce ongoing software costs and maintain continuous license compliance. <a href=""https://www.flexera.com/"">Flexera</a> </p>"
Global Protect,Adopt,Tools,FALSE,"<p>GlobalProtect is a program that runs on your endpoint (desktop computer, laptop, tablet, or smart phone) to protect you by using the same security policies that protect the sensitive resources in your corporate network. GlobalProtect secures your intranet traffic and allows you to connect to your corporate network to access your company’s resources from anywhere in the world. <a href=""https://www.paloaltonetworks.com/products/globalprotect"">GlobalProtect</a> </p>"
Azure Logic Apps,Adopt,Tools,FALSE,"<p>Azure Logic Apps is a cloud service that helps you schedule, automate, and orchestrate tasks, business processes, and workflows when you need to integrate apps, data, systems, and services across enterprises or organizations. <a href=""https://docs.microsoft.com/sv-se/azure/logic-apps/logic-apps-overview"">What is Azure Logic Apps?</a> </p>"
Swagger,Adopt,Tools,FALSE,"<p>Swagger allows you to describe the structure of your APIs so that machines can read them. <a href=""https://swagger.io/"">Swagger</a> </p>"
Chrome latest version,Adopt,Tools,FALSE,"<p>Google Chrome is a cross-platform web browser developed by Google. <a href=""https://www.google.com/intl/sv/chrome/"">Chrome webbrowser</a> </p>"
Splunk,Adopt,Tools,FALSE,"<p>SPLUNK is a software platform widely used for monitoring, searching, analyzing and visualizing the machine-generated data in real time. It performs capturing, indexing, and correlating the real time data in a searchable container and produces graphs, alerts, dashboards and visualizations. <a href=""https://www.splunk.com/"">Splunk</a> </p>"
Azure Service Bus,Adopt,Tools,FALSE,"<p>Microsoft Azure Service Bus is a fully managed enterprise message broker with message queues and publish-subscribe topics. Service Bus is used to decouple applications and services from each other. <a href=""https://docs.microsoft.com/sv-se/azure/////service-bus-messaging/service-bus-messaging-overview"">What is Azure Service Bus?</a> </p>"
Entity Framework,Adopt,languages-and-frameworks,TRUE,"<p><a href=”https://docs.microsoft.com/en-us/ef/"">Entity Framework Core</a> Entity Framework Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations. EF Core works with many databases, including SQL Database (on-premises and Azure), SQLite, MySQL, PostgreSQL, and Azure Cosmos DB.</p>"
Azure Storage Account: Tools,Adopt,Tools,TRUE,"<p><a href=”https://docs.microsoft.com/en-us/azure/storage/common/storage-account-overview"">Azure storage account</a> contains all of your Azure Storage data objects: blobs, files, queues, tables.
Azure Blob storage is a service for storing large amounts of unstructured object data, such as text or binary data. You can use Blob storage to expose data publicly to the world, or to store application data privately. 
Azure Files is a shared storage service that lets you access files via the Server Message Block (SMB) protocol, and mount file shares on Windows, Linux or Mac machines in the Azure cloud.
Azure Queue Storage is a service for storing large numbers of messages.
Azure Table storage is a service that stores non-relational structured data (also known as structured NoSQL data) in the cloud, providing a key/attribute store with a schemaless design.
</p>"
Terraform,Adopt,Tools,TRUE,"<p><a href=”https://www.terraform.io/"">Terraform </a> is an open-source infrastructure as code software tool that provides a consistent CLI workflow to manage hundreds of cloud services. Terraform codifies cloud APIs into declarative configuration files.</p>"
Qualys,Adopt,Tools,FALSE,"<p>Qualys is a commercial vulnerability and web application scanner. It can be used to proactively locate, identify, and assess vulnerabilities so that they can be prioritized and corrected before they are targeted and exploited by attackers. <a href=""https://www.qualys.com/"">Qualys</a> </p>"
Windows Defender Antivirus,Adopt,Tools,FALSE,"<p>Microsoft Defender Antivirus still delivers the comprehensive, ongoing, and real-time protection you expect against software threats like viruses, malware, and spyware across email, apps, the cloud, and the web. <a href=""https://www.microsoft.com/en-us/windows/comprehensive-security"">Microsoft Defender Antivirus</a> </p>"
Cosmos DB,Adopt,Tools,FALSE,"<p>Azure Cosmos DB is a fully managed NoSQL database for modern app development. Single-digit millisecond response times, and automatic and instant scalability, guarantee speed at any scale. <a href=""https://docs.microsoft.com/sv-se/azure/cosmos-db/introduction"">Azure Cosmos DB</a> </p>"
Azure Devops,Adopt,Tools,FALSE,"<p>Azure DevOps provides developer services for support teams to plan work, collaborate on code development, and build and deploy applications. Developers can work in the cloud using Azure DevOps Services or on-premises using Azure DevOps Server. <a href=""https://azure.microsoft.com/en-us/services/devops/?nav=min"">Azure DevOps</a> </p>"
Dapper,Adopt,languages-and-frameworks,TRUE,"<p><a href=”https://dapper-tutorial.net/dapper"">Dapper</a> is an object-relational mapping (ORM) for the .NET platform. It provides a framework for mapping an object-oriented domain model to a traditional relational database.</p>"
ABBYY FlexiCapture,Adopt,Tools,FALSE,"<p>ABBYY FlexiCapture is a highly accurate and scalable document imaging and data extraction software that automatically transforms documents of any structure, language or content into usable and accessible business-ready data.<a href=""https://www.abbyy.com/flexicapture/"">ABBYY FlexiCapture</a> </p>"
Cylance Protect,Adopt,Tools,FALSE,"<p>CylancePROTECT is an advanced threat protection solution that, unlike other traditional endpoint protection software, makes no use of malware signatures. Instead, it employs techniques such as machine learning and artificial intelligence, which allows the identification of malicious code based on its behavior. <a href=""https://www.blackberry.com/us/en/cylance"">Cylance Protect</a> </p>"
Resharper,Adopt,Tools,FALSE,"<p>Designed to make Visual Studio a better IDE for C++ developers, providing code analysis, quick-fixes, search and navigation, smart code completion, refactorings etc. <a href=""https://www.jetbrains.com/resharper/"">ReSharper</a> </p>"
Azure Keyvault,Adopt,Tools,FALSE,"<p>Azure Key Vault is a cloud service for securely storing and accessing secrets. A secret is anything that you want to tightly control access to, such as API keys, passwords, certificates, or cryptographic keys. <a href=""https://docs.microsoft.com/sv-se/azure/key-vault/general/basic-concepts"">Azure Key Vault basic concepts</a>  DISCUSSION: There is an ongoing drive from Global NIS organisation to more to Hasicorp vault, which functions across multiple cloud providers. But that would introduce more work on a local level with no benifits, since we only utilize Azure cloud hosting</p>"
Azure Functions,Adopt,Tools,FALSE,"<p>Azure Functions is an event driven, compute-on-demand experience that extends the existing Azure application platform with capabilities to implement code triggered by events occurring in Azure or third party service as well as on-premises systems. <a href=""https://docs.microsoft.com/sv-se/azure/azure-functions/"">Azure Functions-dokumentation</a> </p>"
Application Insights,Adopt,Tools,FALSE,"<p>Application Insights, a feature of Azure Monitor, is an extensible Application Performance Management (APM) service <a href=""https://docs.microsoft.com/sv-se/azure/azure-monitor/app/app-insights-overview"">Application Insights</a> </p>"
Nuget Packages,Adopt,Tools,FALSE,"<p>NuGet is the package manager for .NET. The NuGet client tools provide the ability to produce and consume packages. <a href=""https://www.nuget.org/"">NuGet</a> </p>"
SSAS - Tabular cubes in Azure,Adopt,Tools,FALSE,"<p>Tabular models in Analysis Services are databases that run in-memory or in DirectQuery mode, connecting to data from back-end relational data sources. <a href=""https://docs.microsoft.com/en-us/analysis-services/tabular-models/tabular-models-ssas?view=asallproducts-allversions"">Tabular modeling overview</a> </p>"
Azure Datafactory,Adopt,Tools,FALSE,"<p>En fullständigt hanterad och serverlös dataintegreringslösning för att mata in, förbereda och transformera alla din data i stor skala. <a href=""https://docs.microsoft.com/sv-se/azure/data-factory/"">Dokumentation om Azure Data Factory</a> </p>"
Veracode,Adopt,Tools,FALSE,"<p>Analyze our build solutions and provides a report of issues<a href=""https://www.veracode.com/products/application-analysis"">Veracode Application Analysis</a></p>"
Azure CLI,Adopt,Tools,FALSE,"<p>Azure command-line interface (Azure CLI) is a set of commands used to create and manage Azure resources. <a href=""https://docs.microsoft.com/en-us/cli/azure/"">Azure Command-Line Interface (CLI) documentation</a></p>"
React,Trial,languages-and-frameworks,FALSE,<p>React is a TypeScript-based open-source web application frameworks for developing front-end applications that can run on all web browsers. Only MyAudit team is using React framework for frontend development. Angular is the prefered framework over React.</p>
Command and Query Responsibility Segregation (CQRS),Trial,Techniques,TRUE,"<p><a href=”https://docs.microsoft.com/en-us/azure/architecture/patterns/cqrs"">Command and Query Responsibility Segregation (CQRS)</a> pattern separates read and update operations for a data store. Implementing CQRS in your application can maximize its performance, scalability, and security.</p>"
Global VDI,Trial,Platforms,FALSE,"<p>VDI on Azure is the use of Azure resources and services to create an infrastructure for the remote delivery of desktops. It is based on Azure’s Windows Virtual Desktop (WVD) service, which you can manage with Remote Desktop Session Host. The service is designed to enable you to deliver Windows desktops to your users on nearly any client device.The Windows Virtual Desktop service offers:Support for multi-user deployments with Windows 10Integration with Microsoft solutions, such as Office 365Extended support for Windows 7 including security via Microsoft 365.<a href=""https://cloud.netapp.com/blog/azure-anf-blg-the-complete-guide-to-vdi-on-azure"">Global VDI</a><p>"
Next gen cloud,Trial,Platforms,FALSE,"<p>PwC globals solution for creating app enironments in which you can create and manage Azure resorces like eg: IaaS , DaaS , storage, key vault</p>"
Apache Spark,Trial,Tools,TRUE,"<p><a href=”https://spark.apache.org/"">Apache Spark</a> is a unified analytics engine for large-scale data processing. This can be used in Data flow activities in Azure data factory pipelines to perform data transformation and analysis.</p>"
O365 Teams,Trial,Platforms,FALSE,"<p>Microsoft Teams is a proprietary business communication platform developed by Microsoft, as part of the Microsoft 365 family of products. Teams primarily competes with the similar service Slack, offering workspace chat and videoconferencing, file storage, and application integration.[8] Teams is replacing other Microsoft-operated business messaging and collaboration platforms, including Skype for Business and Microsoft Classroom.<a href=""https://en.wikipedia.org/wiki/Microsoft_Teams"">Microsoft Teams</a></p>"
O365 OneDrive,Trial,Platforms,FALSE,<p>Microsoft OneDrive is a cloud based file storage.</a></p>
Network Integration Fabric (NIF) - Global,Trial,Platforms,TRUE,"<p>An umberella concept/platform for Global integrations, where the Global API Management (APIM), Shared BizTalk Services (SBTS) and Managed File Transfer (MFT) are all included. <a href=""https://pwceur.sharepoint.com/sites/project-NetworkIntegrationFabricNif"">Dokumentation om Network Integration Fabric (NIF)
</a> </p>"
Azure DataBricks,Assess,Tools,FALSE,"<p>Databricks will be offered globaly as part of the Data Platform/Workbench and it will be an interesting technology for the BI-team when moving BI to Azure. It is also interesting for the AI team</p>
<p>Azure Databricks is a data analytics platform optimized for the Microsoft Azure cloud services platform. Azure Databricks offers two environments for developing data intensive applications: Azure Databricks SQL Analytics and Azure Databricks Workspace.</p>
<p>Azure Databricks SQL Analytics provides an easy-to-use platform for analysts who want to run SQL queries on their data lake, create multiple visualization types to explore query results from different perspectives, and build and share dashboards.</p>
<p>Azure Databricks Workspace provides an interactive workspace that enables collaboration between data engineers, data scientists, and machine learning engineers. For a big data pipeline, the data (raw or structured) is ingested into Azure through Azure Data Factory in batches, or streamed near real-time using Apache Kafka, Event Hub, or IoT Hub. This data lands in a data lake for long term persisted storage, in Azure Blob Storage or Azure Data Lake Storage. As part of your analytics workflow, use Azure Databricks to read data from multiple data sources and turn it into breakthrough insights using Spark.</p>"
Event Source Pattern,Assess,Techniques,TRUE,"<p><a href=”https://docs.microsoft.com/en-us/azure/architecture/patterns/event-sourcing"">Event Sourcing pattern</a> instead of storing just the current state of the data in a domain, use an append-only store to record the full series of actions taken on that data. The store acts as the system of record and can be used to materialize the domain objects. This can simplify tasks in complex domains, by avoiding the need to synchronize the data model and the business domain, while improving performance, scalability, and responsiveness.</p>"
HashiCorp Vault,Assess,Tools,FALSE,"<p>A tool for securely accessing secrets. A secret is anything that you want to tightly control access to, such as API keys, passwords, or certificates. Vault provides a unified interface to any secret, while providing tight access control and recording a detailed audit log. It will be the tool available in Next Gen Cloud DISCUSSION: There is an ongoing drive from Global NIS organisation to more to Hasicorp vault, which functions across multiple cloud providers. But that would introduce more work on a local level with no benifits, since we only utilize Azure cloud hosting</p>"
Google bots,Assess,Tools,FALSE,"<p>Chat bots for Goole can be assessed <a href=""https://developers.google.com/hangouts/chat/concepts/bots""></a></p>"
Competing Consumers pattern,Assess,Techniques,TRUE,"<p><a href=”https://docs.microsoft.com/en-us/azure/architecture/patterns/competing-consumers"">Competing Consumers pattern</a> enables multiple concurrent consumers to process messages received on the same messaging channel. This enables a system to process multiple messages concurrently to optimize throughput, to improve scalability and availability, and to balance the workload.</p>"
Azure App Configuration,Assess,Tools,TRUE,"<p><a href=”https://docs.microsoft.com/en-us/azure/azure-app-configuration/overview"">Azure App Configuration</a> provides a service to centrally manage application settings and feature flags. Modern programs, especially programs running in a cloud, generally have many components that are distributed in nature.</p>"
Continuous Delivery,Assess,Techniques,TRUE,"<p>Continuous Delivery is a technique that should be used when implementing and building solutions. <a href=""https://continuousdelivery.com/""></a>Continuous Delivery website</p>"
CosmosDB Emulator,Assess,Tools,TRUE,"<p><a href=”https://docs.microsoft.com/en-us/azure/cosmos-db/local-emulator?tabs=cli%2Cssl-netstd21"">Azure Cosmos DB Emulator</a> provides a local environment that emulates the Azure Cosmos DB service for development purposes. Using the Azure Cosmos DB Emulator, you can develop and test your application locally, without creating an Azure subscription or incurring any costs.</p>"
gRPC,Assess,languages-and-frameworks,TRUE,"<p><a href=”https://grpc.io/"">gRPC</a> is a modern open source high performance Remote Procedure Call (RPC) framework that can run in any environment. It can efficiently connect services in and across data centers with pluggable support for load balancing, tracing, health checking and authentication.</p>"
Azure Event Hub with Kafka,Assess,Platforms,TRUE,"<p>Journey towards event driven systems and that PwC global systems shift to event based integrations pushes us to evaluate new technologies. Azure Event Hub with kafka APIs seems to be a very good fit for this type of problem. After knowledge exchanges with switzerland had also started using event hub.<a href=""https://azure.microsoft.com/sv-se/blog/azure-event-hubs-for-kafka-ecosystems-in-public-preview/""> Azure Event hub with kafka </a></p>"
Azure Synapse,Assess,Platforms,TRUE,"<p>Azure Synapse Analytics is a limitless analytics service that brings together data integration, enterprise data warehousing, and big data analytics. <a href=""https://azure.microsoft.com/en-us/services/synapse-analytics/""> Azure Synapse Analytics </a> A possible platform for a new BI soulution to be evaluated</p>"
Snowflake,Assess,Platforms,TRUE,"<p>Snowflake is a cloud platform for data storage, suited for Data warehousing and analytics. <a href=""https://www.snowflake.com/""> Snowflake Data Cloud</a> A possible platform for a new BI soulution to be evaluated</p>"
Microsoft Power Apps,Assess,Platforms,TRUE,"<p>Power Apps is a suite of apps, services, connectors and data platform that provides a rapid application development environment to build custom apps for your business needs. Using Power Apps, you can quickly build custom business apps that connect to your business data stored either in the underlying data. One of the candidates for replacing Lotus Notes DB. Need to investigate licencing model befor adopted.<a href=""https://docs.microsoft.com/en-us/powerapps/powerapps-overview</a> </p>"
ARM Template,Hold,languages-and-frameworks,TRUE,"<p><a href=""https://docs.microsoft.com/en-us/azure/azure-resource-manager/templates/"">Azure Resource Manager</a> templates are JavaScript Object Notation (JSON) files that define the infrastructure and configuration for your project. PwC has adopted ARM templates in many applications to automate infrastructure creation on Azure. Terraform is the preferred tools for resource managemet in NGC</p>"
Blazor Webassembly,Hold,languages-and-frameworks,FALSE,"<p>We should assess the possibilities of using the <a href=""https://dotnet.microsoft.com/apps/aspnet/web-apps/blazor"">Blazor framework</a> for frontend applications and compare it towards Angula and React.. DISCUSION: We should avoid looking at a new front-end framework since we are heavily invested in Angular and also support React. This is also a fairly new framework that is today less perform-ant. There are some pros: that it is C# and would be a good fit since we are building our backend in C# dotnet and might be easy for a backend developer to get started in.</p>"
Java,Hold,languages-and-frameworks,FALSE,"<p>Java languague is not used within PwC Sweden, we do not have devlopers or the skill to use this languague.</p>"
Visual Basic,Hold,languages-and-frameworks,FALSE,"<p>Visual Basic as a languague should not be used within PwC Sweden, any applications written in this langugue should be phased out and written in a new modern programming languague.</p>"
Microsoft Office VBA,Hold,languages-and-frameworks,FALSE,"<p>Building applications and business logic inside microsoft excel or similar should be avoided if possible. However when the solution can only be created in MS Office, VBA might be the only possibility and may, after consideration, be used. If possible use Google sheet and appscripts which is better suited for many scenarios since its cloudbased and we have some applications using it ex: flow of data.</p>"
.NET framework,Hold,languages-and-frameworks,FALSE,<p>If at all possible use .NET Core</p>
VMWare tools,Hold,Platforms,TRUE,"<p>VMware Tools is a set of services and modules that enable several features in VMware products for better management of, and seamless user interactions with, guests operating systems. <a href=""https://docs.vmware.com/en/VMware-vSphere/6.7/com.vmware.vsphere.html.hostclient.doc/GUID-28C39A00-743B-4222-B697-6632E94A8E72.html"">Introduction to VMware Tools</a> </p>"
Windows server 2016 ,Hold,Platforms,TRUE,<p>All windows Server versions below 2019 should be considered to be on hold.</a> </p>
SQL server 2017,Hold,Platforms,FALSE,"<p>SQL Server 2017 represents a major step towards making SQL Server a platform that gives you choices of development languages, data types, on-premises or cloud, and operating systems by bringing the power of SQL Server to Linux, Linux-based Docker containers, and Windows. EOL Mainstream support October 11, 2022. Extended support adds 5 more years.<a href=""https://docs.microsoft.com/en-us/sql/sql-server/what-s-new-in-sql-server-2017?view=sql-server-ver15"">SQL Server 2017</a> </p>"
Azure stack,Hold,Platforms,TRUE,"<p>Microsoft Azure Stack is a true hybrid cloud computing solution which is an extension of Azure allowing organizations to provide Azure services using their own on-premises data centers. The data centers convert into a Public Cloud that runs Microsoft’s Azure Cloud platform.The basic principle of the Azure Stack is to enable organizations to hold sensitive data and information with their own data centers while giving the ability to reach the public cloud of Azure. Similar to Azure, Azure Stack services run on top of Microsoft Hyper-V on Windows and uses Microsoft’s Networking and storage solution to function seamlessly.<a href=""https://www.sherweb.com/blog/cloud-server/microsoft-azure-stack/"">Azure Stack</a>. PwC Sweden dont recommend new applcation to use this service.<p>"
Azure global tenant,Hold,Platforms,TRUE,<p>Global Azure PwC Tenant where PwC Sweden can create Azure resources in the appropriate subscriptions that are dedicated to us</a></p>
MS SQL Server 2019,Hold,Platforms,FALSE,<p>We do not recommend to use standalone SQL servers due to the maintinance costs use Azure SQL PaaS version instead. </p
AWS,Hold,Platforms,FALSE,"<p>Amazon Web Services is put Hold, default cloud provider is Microsoft Azure</p>"
IBM Notes,Hold,Platforms,FALSE,<p>IBM Lotus Notes is put on Hold</p>
SCCM,Hold,Platforms,FALSE,<p>Microsoft System Center Configuration Manager is put on Hold</p>
